 >TARCYL  cylindrical target: Length= 20.0000 Diameter=  3.0000
      4500 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.50000  -0.00000  -0.00000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    769  19   1  -3 1 1 1
    770  20   1  -3 1 1 1
    771  21   1  -3 1 1 1
    772  22   1  -3 1 1 1
    773  23   1  -3 1 1 1
    774  24   1  -3 1 1 1
    775  25   1  -3 1 1 1
    776  26   1  -3 1 1 1
    777  27   1  -3 1 1 1
    778  28   1  -3 1 1 1
    779  29   1  -3 1 1 1
    780  30   1  -3 1 1 1
    781 -29   2  -3 1 1 1
    782 -28   2  -3 1 1 1
    783 -27   2  -3 1 1 1
    784 -26   2  -3 1 1 1
    785 -25   2  -3 1 1 1
    786 -24   2  -3 1 1 1
    787 -23   2  -3 1 1 1
    788 -22   2  -3 1 1 1
    789 -21   2  -3 1 1 1
    790 -20   2  -3 1 1 1
    791 -19   2  -3 1 1 1
    792 -18   2  -3 1 1 1
    793 -17   2  -3 1 1 1
    794 -16   2  -3 1 1 1
    795 -15   2  -3 1 1 1
    796 -14   2  -3 1 1 1
    797 -13   2  -3 1 1 1
    798 -12   2  -3 1 1 1
    799 -11   2  -3 1 1 1
    800 -10   2  -3 1 1 1
    801  -9   2  -3 1 1 1
    802  -8   2  -3 1 1 1
    803  -7   2  -3 1 1 1
    804  -6   2  -3 1 1 1
    805  -5   2  -3 1 1 1
    806  -4   2  -3 1 1 1
    807  -3   2  -3 1 1 1
    808  -2   2  -3 1 1 1
    809  -1   2  -3 1 1 1
    810   0   2  -3 1 1 1
    811   1   2  -3 1 1 1
    812   2   2  -3 1 1 1
    813   3   2  -3 1 1 1
    814   4   2  -3 1 1 1
    815   5   2  -3 1 1 1
    816   6   2  -3 1 1 1
    817   7   2  -3 1 1 1
    818   8   2  -3 1 1 1
    819   9   2  -3 1 1 1
    820  10   2  -3 1 1 1
    821  11   2  -3 1 1 1
    822  12   2  -3 1 1 1
    823  13   2  -3 1 1 1
    824  14   2  -3 1 1 1
    825  15   2  -3 1 1 1
    826  16   2  -3 1 1 1
    827  17   2  -3 1 1 1
    828  18   2  -3 1 1 1
    829  19   2  -3 1 1 1
    830  20   2  -3 1 1 1
    831  21   2  -3 1 1 1
    832  22   2  -3 1 1 1
    833  23   2  -3 1 1 1
    834  24   2  -3 1 1 1
    835  25   2  -3 1 1 1
    836  26   2  -3 1 1 1
    837  27   2  -3 1 1 1
    838  28   2  -3 1 1 1
    839  29   2  -3 1 1 1
    840  30   2  -3 1 1 1
    841 -29   3  -3 1 1 1
    842 -28   3  -3 1 1 1
    843 -27   3  -3 1 1 1
    844 -26   3  -3 1 1 1
    845 -25   3  -3 1 1 1
    846 -24   3  -3 1 1 1
    847 -23   3  -3 1 1 1
    848 -22   3  -3 1 1 1
    849 -21   3  -3 1 1 1
    850 -20   3  -3 1 1 1
    851 -19   3  -3 1 1 1
    852 -18   3  -3 1 1 1
    853 -17   3  -3 1 1 1
    854 -16   3  -3 1 1 1
    855 -15   3  -3 1 1 1
    856 -14   3  -3 1 1 1
    857 -13   3  -3 1 1 1
    858 -12   3  -3 1 1 1
    859 -11   3  -3 1 1 1
    860 -10   3  -3 1 1 1
    861  -9   3  -3 1 1 1
    862  -8   3  -3 1 1 1
    863  -7   3  -3 1 1 1
    864  -6   3  -3 1 1 1
    865  -5   3  -3 1 1 1
    866  -4   3  -3 1 1 1
    867  -3   3  -3 1 1 1
    868  -2   3  -3 1 1 1
    869  -1   3  -3 1 1 1
    870   0   3  -3 1 1 1
    871   1   3  -3 1 1 1
    872   2   3  -3 1 1 1
    873   3   3  -3 1 1 1
    874   4   3  -3 1 1 1
    875   5   3  -3 1 1 1
    876   6   3  -3 1 1 1
    877   7   3  -3 1 1 1
    878   8   3  -3 1 1 1
    879   9   3  -3 1 1 1
    880  10   3  -3 1 1 1
    881  11   3  -3 1 1 1
    882  12   3  -3 1 1 1
    883  13   3  -3 1 1 1
    884  14   3  -3 1 1 1
    885  15   3  -3 1 1 1
    886  16   3  -3 1 1 1
    887  17   3  -3 1 1 1
    888  18   3  -3 1 1 1
    889  19   3  -3 1 1 1
    890  20   3  -3 1 1 1
    891  21   3  -3 1 1 1
    892  22   3  -3 1 1 1
    893  23   3  -3 1 1 1
    894  24   3  -3 1 1 1
    895  25   3  -3 1 1 1
    896  26   3  -3 1 1 1
    897  27   3  -3 1 1 1
    898  28   3  -3 1 1 1
    899  29   3  -3 1 1 1
    900  30   3  -3 1 1 1
    901 -29  -4  -2 1 1 1
    902 -28  -4  -2 1 1 1
    903 -27  -4  -2 1 1 1
    904 -26  -4  -2 1 1 1
    905 -25  -4  -2 1 1 1
    906 -24  -4  -2 1 1 1
    907 -23  -4  -2 1 1 1
    908 -22  -4  -2 1 1 1
    909 -21  -4  -2 1 1 1
    910 -20  -4  -2 1 1 1
    911 -19  -4  -2 1 1 1
    912 -18  -4  -2 1 1 1
    913 -17  -4  -2 1 1 1
    914 -16  -4  -2 1 1 1
    915 -15  -4  -2 1 1 1
    916 -14  -4  -2 1 1 1
    917 -13  -4  -2 1 1 1
    918 -12  -4  -2 1 1 1
    919 -11  -4  -2 1 1 1
    920 -10  -4  -2 1 1 1
    921  -9  -4  -2 1 1 1
    922  -8  -4  -2 1 1 1
    923  -7  -4  -2 1 1 1
    924  -6  -4  -2 1 1 1
    925  -5  -4  -2 1 1 1
    926  -4  -4  -2 1 1 1
    927  -3  -4  -2 1 1 1
    928  -2  -4  -2 1 1 1
    929  -1  -4  -2 1 1 1
    930   0  -4  -2 1 1 1
    931   1  -4  -2 1 1 1
    932   2  -4  -2 1 1 1
    933   3  -4  -2 1 1 1
    934   4  -4  -2 1 1 1
    935   5  -4  -2 1 1 1
    936   6  -4  -2 1 1 1
    937   7  -4  -2 1 1 1
    938   8  -4  -2 1 1 1
    939   9  -4  -2 1 1 1
    940  10  -4  -2 1 1 1
    941  11  -4  -2 1 1 1
    942  12  -4  -2 1 1 1
    943  13  -4  -2 1 1 1
    944  14  -4  -2 1 1 1
    945  15  -4  -2 1 1 1
    946  16  -4  -2 1 1 1
    947  17  -4  -2 1 1 1
    948  18  -4  -2 1 1 1
    949  19  -4  -2 1 1 1
    950  20  -4  -2 1 1 1
    951  21  -4  -2 1 1 1
    952  22  -4  -2 1 1 1
    953  23  -4  -2 1 1 1
    954  24  -4  -2 1 1 1
    955  25  -4  -2 1 1 1
    956  26  -4  -2 1 1 1
    957  27  -4  -2 1 1 1
    958  28  -4  -2 1 1 1
    959  29  -4  -2 1 1 1
    960  30  -4  -2 1 1 1
    961 -29  -3  -2 1 1 1
    962 -28  -3  -2 1 1 1
    963 -27  -3  -2 1 1 1
    964 -26  -3  -2 1 1 1
    965 -25  -3  -2 1 1 1
    966 -24  -3  -2 1 1 1
    967 -23  -3  -2 1 1 1
    968 -22  -3  -2 1 1 1
    969 -21  -3  -2 1 1 1
    970 -20  -3  -2 1 1 1
    971 -19  -3  -2 1 1 1
    972 -18  -3  -2 1 1 1
    973 -17  -3  -2 1 1 1
    974 -16  -3  -2 1 1 1
    975 -15  -3  -2 1 1 1
    976 -14  -3  -2 1 1 1
    977 -13  -3  -2 1 1 1
    978 -12  -3  -2 1 1 1
    979 -11  -3  -2 1 1 1
    980 -10  -3  -2 1 1 1
    981  -9  -3  -2 1 1 1
    982  -8  -3  -2 1 1 1
    983  -7  -3  -2 1 1 1
    984  -6  -3  -2 1 1 1
    985  -5  -3  -2 1 1 1
    986  -4  -3  -2 1 1 1
    987  -3  -3  -2 1 1 1
    988  -2  -3  -2 1 1 1
    989  -1  -3  -2 1 1 1
    990   0  -3  -2 1 1 1
    991   1  -3  -2 1 1 1
    992   2  -3  -2 1 1 1
    993   3  -3  -2 1 1 1
    994   4  -3  -2 1 1 1
    995   5  -3  -2 1 1 1
    996   6  -3  -2 1 1 1
    997   7  -3  -2 1 1 1
    998   8  -3  -2 1 1 1
    999   9  -3  -2 1 1 1
   1000  10  -3  -2 1 1 1
   1001  11  -3  -2 1 1 1
   1002  12  -3  -2 1 1 1
   1003  13  -3  -2 1 1 1
   1004  14  -3  -2 1 1 1
   1005  15  -3  -2 1 1 1
   1006  16  -3  -2 1 1 1
   1007  17  -3  -2 1 1 1
   1008  18  -3  -2 1 1 1
   1009  19  -3  -2 1 1 1
   1010  20  -3  -2 1 1 1
   1011  21  -3  -2 1 1 1
   1012  22  -3  -2 1 1 1
   1013  23  -3  -2 1 1 1
   1014  24  -3  -2 1 1 1
   1015  25  -3  -2 1 1 1
   1016  26  -3  -2 1 1 1
   1017  27  -3  -2 1 1 1
   1018  28  -3  -2 1 1 1
   1019  29  -3  -2 1 1 1
   1020  30  -3  -2 1 1 1
   1021 -29  -2  -2 1 1 1
   1022 -28  -2  -2 1 1 1
   1023 -27  -2  -2 1 1 1
   1024 -26  -2  -2 1 1 1
   1025 -25  -2  -2 1 1 1
   1026 -24  -2  -2 1 1 1
   1027 -23  -2  -2 1 1 1
   1028 -22  -2  -2 1 1 1
   1029 -21  -2  -2 1 1 1
   1030 -20  -2  -2 1 1 1
   1031 -19  -2  -2 1 1 1
   1032 -18  -2  -2 1 1 1
   1033 -17  -2  -2 1 1 1
   1034 -16  -2  -2 1 1 1
   1035 -15  -2  -2 1 1 1
   1036 -14  -2  -2 1 1 1
   1037 -13  -2  -2 1 1 1
   1038 -12  -2  -2 1 1 1
   1039 -11  -2  -2 1 1 1
   1040 -10  -2  -2 1 1 1
   1041  -9  -2  -2 1 1 1
   1042  -8  -2  -2 1 1 1
   1043  -7  -2  -2 1 1 1
   1044  -6  -2  -2 1 1 1
   1045  -5  -2  -2 1 1 1
   1046  -4  -2  -2 1 1 1
   1047  -3  -2  -2 1 1 1
   1048  -2  -2  -2 1 1 1
   1049  -1  -2  -2 1 1 1
   1050   0  -2  -2 1 1 1
   1051   1  -2  -2 1 1 1
   1052   2  -2  -2 1 1 1
   1053   3  -2  -2 1 1 1
   1054   4  -2  -2 1 1 1
   1055   5  -2  -2 1 1 1
   1056   6  -2  -2 1 1 1
   1057   7  -2  -2 1 1 1
   1058   8  -2  -2 1 1 1
   1059   9  -2  -2 1 1 1
   1060  10  -2  -2 1 1 1
   1061  11  -2  -2 1 1 1
   1062  12  -2  -2 1 1 1
   1063  13  -2  -2 1 1 1
   1064  14  -2  -2 1 1 1
   1065  15  -2  -2 1 1 1
   1066  16  -2  -2 1 1 1
   1067  17  -2  -2 1 1 1
   1068  18  -2  -2 1 1 1
   1069  19  -2  -2 1 1 1
   1070  20  -2  -2 1 1 1
   1071  21  -2  -2 1 1 1
   1072  22  -2  -2 1 1 1
   1073  23  -2  -2 1 1 1
   1074  24  -2  -2 1 1 1
   1075  25  -2  -2 1 1 1
   1076  26  -2  -2 1 1 1
   1077  27  -2  -2 1 1 1
   1078  28  -2  -2 1 1 1
   1079  29  -2  -2 1 1 1
   1080  30  -2  -2 1 1 1
   1081 -29  -1  -2 1 1 1
   1082 -28  -1  -2 1 1 1
   1083 -27  -1  -2 1 1 1
   1084 -26  -1  -2 1 1 1
   1085 -25  -1  -2 1 1 1
   1086 -24  -1  -2 1 1 1
   1087 -23  -1  -2 1 1 1
   1088 -22  -1  -2 1 1 1
   1089 -21  -1  -2 1 1 1
   1090 -20  -1  -2 1 1 1
   1091 -19  -1  -2 1 1 1
   1092 -18  -1  -2 1 1 1
   1093 -17  -1  -2 1 1 1
   1094 -16  -1  -2 1 1 1
   1095 -15  -1  -2 1 1 1
   1096 -14  -1  -2 1 1 1
   1097 -13  -1  -2 1 1 1
   1098 -12  -1  -2 1 1 1
   1099 -11  -1  -2 1 1 1
   1100 -10  -1  -2 1 1 1
   1101  -9  -1  -2 1 1 1
   1102  -8  -1  -2 1 1 1
   1103  -7  -1  -2 1 1 1
   1104  -6  -1  -2 1 1 1
   1105  -5  -1  -2 1 1 1
   1106  -4  -1  -2 1 1 1
   1107  -3  -1  -2 1 1 1
   1108  -2  -1  -2 1 1 1
   1109  -1  -1  -2 1 1 1
   1110   0  -1  -2 1 1 1
   1111   1  -1  -2 1 1 1
   1112   2  -1  -2 1 1 1
   1113   3  -1  -2 1 1 1
   1114   4  -1  -2 1 1 1
   1115   5  -1  -2 1 1 1
   1116   6  -1  -2 1 1 1
   1117   7  -1  -2 1 1 1
   1118   8  -1  -2 1 1 1
   1119   9  -1  -2 1 1 1
   1120  10  -1  -2 1 1 1
   1121  11  -1  -2 1 1 1
   1122  12  -1  -2 1 1 1
   1123  13  -1  -2 1 1 1
   1124  14  -1  -2 1 1 1
   1125  15  -1  -2 1 1 1
   1126  16  -1  -2 1 1 1
   1127  17  -1  -2 1 1 1
   1128  18  -1  -2 1 1 1
   1129  19  -1  -2 1 1 1
   1130  20  -1  -2 1 1 1
   1131  21  -1  -2 1 1 1
   1132  22  -1  -2 1 1 1
   1133  23  -1  -2 1 1 1
   1134  24  -1  -2 1 1 1
   1135  25  -1  -2 1 1 1
   1136  26  -1  -2 1 1 1
   1137  27  -1  -2 1 1 1
   1138  28  -1  -2 1 1 1
   1139  29  -1  -2 1 1 1
   1140  30  -1  -2 1 1 1
   1141 -29   0  -2 1 1 1
   1142 -28   0  -2 1 1 1
   1143 -27   0  -2 1 1 1
   1144 -26   0  -2 1 1 1
   1145 -25   0  -2 1 1 1
   1146 -24   0  -2 1 1 1
   1147 -23   0  -2 1 1 1
   1148 -22   0  -2 1 1 1
   1149 -21   0  -2 1 1 1
   1150 -20   0  -2 1 1 1
   1151 -19   0  -2 1 1 1
   1152 -18   0  -2 1 1 1
   1153 -17   0  -2 1 1 1
   1154 -16   0  -2 1 1 1
   1155 -15   0  -2 1 1 1
   1156 -14   0  -2 1 1 1
   1157 -13   0  -2 1 1 1
   1158 -12   0  -2 1 1 1
   1159 -11   0  -2 1 1 1
   1160 -10   0  -2 1 1 1
   1161  -9   0  -2 1 1 1
   1162  -8   0  -2 1 1 1
   1163  -7   0  -2 1 1 1
   1164  -6   0  -2 1 1 1
   1165  -5   0  -2 1 1 1
   1166  -4   0  -2 1 1 1
   1167  -3   0  -2 1 1 1
   1168  -2   0  -2 1 1 1
   1169  -1   0  -2 1 1 1
   1170   0   0  -2 1 1 1
   1171   1   0  -2 1 1 1
   1172   2   0  -2 1 1 1
   1173   3   0  -2 1 1 1
   1174   4   0  -2 1 1 1
   1175   5   0  -2 1 1 1
   1176   6   0  -2 1 1 1
   1177   7   0  -2 1 1 1
   1178   8   0  -2 1 1 1
   1179   9   0  -2 1 1 1
   1180  10   0  -2 1 1 1
   1181  11   0  -2 1 1 1
   1182  12   0  -2 1 1 1
   1183  13   0  -2 1 1 1
   1184  14   0  -2 1 1 1
   1185  15   0  -2 1 1 1
   1186  16   0  -2 1 1 1
   1187  17   0  -2 1 1 1
   1188  18   0  -2 1 1 1
   1189  19   0  -2 1 1 1
   1190  20   0  -2 1 1 1
   1191  21   0  -2 1 1 1
   1192  22   0  -2 1 1 1
   1193  23   0  -2 1 1 1
   1194  24   0  -2 1 1 1
   1195  25   0  -2 1 1 1
   1196  26   0  -2 1 1 1
   1197  27   0  -2 1 1 1
   1198  28   0  -2 1 1 1
   1199  29   0  -2 1 1 1
   1200  30   0  -2 1 1 1
   1201 -29   1  -2 1 1 1
   1202 -28   1  -2 1 1 1
   1203 -27   1  -2 1 1 1
   1204 -26   1  -2 1 1 1
   1205 -25   1  -2 1 1 1
   1206 -24   1  -2 1 1 1
   1207 -23   1  -2 1 1 1
   1208 -22   1  -2 1 1 1
   1209 -21   1  -2 1 1 1
   1210 -20   1  -2 1 1 1
   1211 -19   1  -2 1 1 1
   1212 -18   1  -2 1 1 1
   1213 -17   1  -2 1 1 1
   1214 -16   1  -2 1 1 1
   1215 -15   1  -2 1 1 1
   1216 -14   1  -2 1 1 1
   1217 -13   1  -2 1 1 1
   1218 -12   1  -2 1 1 1
   1219 -11   1  -2 1 1 1
   1220 -10   1  -2 1 1 1
   1221  -9   1  -2 1 1 1
   1222  -8   1  -2 1 1 1
   1223  -7   1  -2 1 1 1
   1224  -6   1  -2 1 1 1
   1225  -5   1  -2 1 1 1
   1226  -4   1  -2 1 1 1
   1227  -3   1  -2 1 1 1
   1228  -2   1  -2 1 1 1
   1229  -1   1  -2 1 1 1
   1230   0   1  -2 1 1 1
   1231   1   1  -2 1 1 1
   1232   2   1  -2 1 1 1
   1233   3   1  -2 1 1 1
   1234   4   1  -2 1 1 1
   1235   5   1  -2 1 1 1
   1236   6   1  -2 1 1 1
   1237   7   1  -2 1 1 1
   1238   8   1  -2 1 1 1
   1239   9   1  -2 1 1 1
   1240  10   1  -2 1 1 1
   1241  11   1  -2 1 1 1
   1242  12   1  -2 1 1 1
   1243  13   1  -2 1 1 1
   1244  14   1  -2 1 1 1
   1245  15   1  -2 1 1 1
   1246  16   1  -2 1 1 1
   1247  17   1  -2 1 1 1
   1248  18   1  -2 1 1 1
   1249  19   1  -2 1 1 1
   1250  20   1  -2 1 1 1
   1251  21   1  -2 1 1 1
   1252  22   1  -2 1 1 1
   1253  23   1  -2 1 1 1
   1254  24   1  -2 1 1 1
   1255  25   1  -2 1 1 1
   1256  26   1  -2 1 1 1
   1257  27   1  -2 1 1 1
   1258  28   1  -2 1 1 1
   1259  29   1  -2 1 1 1
   1260  30   1  -2 1 1 1
   1261 -29   2  -2 1 1 1
   1262 -28   2  -2 1 1 1
   1263 -27   2  -2 1 1 1
   1264 -26   2  -2 1 1 1
   1265 -25   2  -2 1 1 1
   1266 -24   2  -2 1 1 1
   1267 -23   2  -2 1 1 1
   1268 -22   2  -2 1 1 1
   1269 -21   2  -2 1 1 1
   1270 -20   2  -2 1 1 1
   1271 -19   2  -2 1 1 1
   1272 -18   2  -2 1 1 1
   1273 -17   2  -2 1 1 1
   1274 -16   2  -2 1 1 1
   1275 -15   2  -2 1 1 1
   1276 -14   2  -2 1 1 1
   1277 -13   2  -2 1 1 1
   1278 -12   2  -2 1 1 1
   1279 -11   2  -2 1 1 1
   1280 -10   2  -2 1 1 1
   1281  -9   2  -2 1 1 1
   1282  -8   2  -2 1 1 1
   1283  -7   2  -2 1 1 1
   1284  -6   2  -2 1 1 1
   1285  -5   2  -2 1 1 1
   1286  -4   2  -2 1 1 1
   1287  -3   2  -2 1 1 1
   1288  -2   2  -2 1 1 1
   1289  -1   2  -2 1 1 1
   1290   0   2  -2 1 1 1
   1291   1   2  -2 1 1 1
   1292   2   2  -2 1 1 1
   1293   3   2  -2 1 1 1
   1294   4   2  -2 1 1 1
   1295   5   2  -2 1 1 1
   1296   6   2  -2 1 1 1
   1297   7   2  -2 1 1 1
   1298   8   2  -2 1 1 1
   1299   9   2  -2 1 1 1
   1300  10   2  -2 1 1 1
   1301  11   2  -2 1 1 1
   1302  12   2  -2 1 1 1
   1303  13   2  -2 1 1 1
   1304  14   2  -2 1 1 1
   1305  15   2  -2 1 1 1
   1306  16   2  -2 1 1 1
   1307  17   2  -2 1 1 1
   1308  18   2  -2 1 1 1
   1309  19   2  -2 1 1 1
   1310  20   2  -2 1 1 1
   1311  21   2  -2 1 1 1
   1312  22   2  -2 1 1 1
   1313  23   2  -2 1 1 1
   1314  24   2  -2 1 1 1
   1315  25   2  -2 1 1 1
   1316  26   2  -2 1 1 1
   1317  27   2  -2 1 1 1
   1318  28   2  -2 1 1 1
   1319  29   2  -2 1 1 1
   1320  30   2  -2 1 1 1
   1321 -29   3  -2 1 1 1
   1322 -28   3  -2 1 1 1
   1323 -27   3  -2 1 1 1
   1324 -26   3  -2 1 1 1
   1325 -25   3  -2 1 1 1
   1326 -24   3  -2 1 1 1
   1327 -23   3  -2 1 1 1
   1328 -22   3  -2 1 1 1
   1329 -21   3  -2 1 1 1
   1330 -20   3  -2 1 1 1
   1331 -19   3  -2 1 1 1
   1332 -18   3  -2 1 1 1
   1333 -17   3  -2 1 1 1
   1334 -16   3  -2 1 1 1
   1335 -15   3  -2 1 1 1
   1336 -14   3  -2 1 1 1
   1337 -13   3  -2 1 1 1
   1338 -12   3  -2 1 1 1
   1339 -11   3  -2 1 1 1
   1340 -10   3  -2 1 1 1
   1341  -9   3  -2 1 1 1
   1342  -8   3  -2 1 1 1
   1343  -7   3  -2 1 1 1
   1344  -6   3  -2 1 1 1
   1345  -5   3  -2 1 1 1
   1346  -4   3  -2 1 1 1
   1347  -3   3  -2 1 1 1
   1348  -2   3  -2 1 1 1
   1349  -1   3  -2 1 1 1
   1350   0   3  -2 1 1 1
   1351   1   3  -2 1 1 1
   1352   2   3  -2 1 1 1
   1353   3   3  -2 1 1 1
   1354   4   3  -2 1 1 1
   1355   5   3  -2 1 1 1
   1356   6   3  -2 1 1 1
   1357   7   3  -2 1 1 1
   1358   8   3  -2 1 1 1
   1359   9   3  -2 1 1 1
   1360  10   3  -2 1 1 1
   1361  11   3  -2 1 1 1
   1362  12   3  -2 1 1 1
   1363  13   3  -2 1 1 1
   1364  14   3  -2 1 1 1
   1365  15   3  -2 1 1 1
   1366  16   3  -2 1 1 1
   1367  17   3  -2 1 1 1
   1368  18   3  -2 1 1 1
   1369  19   3  -2 1 1 1
   1370  20   3  -2 1 1 1
   1371  21   3  -2 1 1 1
   1372  22   3  -2 1 1 1
   1373  23   3  -2 1 1 1
   1374  24   3  -2 1 1 1
   1375  25   3  -2 1 1 1
   1376  26   3  -2 1 1 1
   1377  27   3  -2 1 1 1
   1378  28   3  -2 1 1 1
   1379  29   3  -2 1 1 1
   1380  30   3  -2 1 1 1
   1381 -29   4  -2 1 1 1
   1382 -28   4  -2 1 1 1
   1383 -27   4  -2 1 1 1
   1384 -26   4  -2 1 1 1
   1385 -25   4  -2 1 1 1
   1386 -24   4  -2 1 1 1
   1387 -23   4  -2 1 1 1
   1388 -22   4  -2 1 1 1
   1389 -21   4  -2 1 1 1
   1390 -20   4  -2 1 1 1
   1391 -19   4  -2 1 1 1
   1392 -18   4  -2 1 1 1
   1393 -17   4  -2 1 1 1
   1394 -16   4  -2 1 1 1
   1395 -15   4  -2 1 1 1
   1396 -14   4  -2 1 1 1
   1397 -13   4  -2 1 1 1
   1398 -12   4  -2 1 1 1
   1399 -11   4  -2 1 1 1
   1400 -10   4  -2 1 1 1
   1401  -9   4  -2 1 1 1
   1402  -8   4  -2 1 1 1
   1403  -7   4  -2 1 1 1
   1404  -6   4  -2 1 1 1
   1405  -5   4  -2 1 1 1
   1406  -4   4  -2 1 1 1
   1407  -3   4  -2 1 1 1
   1408  -2   4  -2 1 1 1
   1409  -1   4  -2 1 1 1
   1410   0   4  -2 1 1 1
   1411   1   4  -2 1 1 1
   1412   2   4  -2 1 1 1
   1413   3   4  -2 1 1 1
   1414   4   4  -2 1 1 1
   1415   5   4  -2 1 1 1
   1416   6   4  -2 1 1 1
   1417   7   4  -2 1 1 1
   1418   8   4  -2 1 1 1
   1419   9   4  -2 1 1 1
   1420  10   4  -2 1 1 1
   1421  11   4  -2 1 1 1
   1422  12   4  -2 1 1 1
   1423  13   4  -2 1 1 1
   1424  14   4  -2 1 1 1
   1425  15   4  -2 1 1 1
   1426  16   4  -2 1 1 1
   1427  17   4  -2 1 1 1
   1428  18   4  -2 1 1 1
   1429  19   4  -2 1 1 1
   1430  20   4  -2 1 1 1
   1431  21   4  -2 1 1 1
   1432  22   4  -2 1 1 1
   1433  23   4  -2 1 1 1
   1434  24   4  -2 1 1 1
   1435  25   4  -2 1 1 1
   1436  26   4  -2 1 1 1
   1437  27   4  -2 1 1 1
   1438  28   4  -2 1 1 1
   1439  29   4  -2 1 1 1
   1440  30   4  -2 1 1 1
   1441 -29  -4  -1 1 1 1
   1442 -28  -4  -1 1 1 1
   1443 -27  -4  -1 1 1 1
   1444 -26  -4  -1 1 1 1
   1445 -25  -4  -1 1 1 1
   1446 -24  -4  -1 1 1 1
   1447 -23  -4  -1 1 1 1
   1448 -22  -4  -1 1 1 1
   1449 -21  -4  -1 1 1 1
   1450 -20  -4  -1 1 1 1
   1451 -19  -4  -1 1 1 1
   1452 -18  -4  -1 1 1 1
   1453 -17  -4  -1 1 1 1
   1454 -16  -4  -1 1 1 1
   1455 -15  -4  -1 1 1 1
   1456 -14  -4  -1 1 1 1
   1457 -13  -4  -1 1 1 1
   1458 -12  -4  -1 1 1 1
   1459 -11  -4  -1 1 1 1
   1460 -10  -4  -1 1 1 1
   1461  -9  -4  -1 1 1 1
   1462  -8  -4  -1 1 1 1
   1463  -7  -4  -1 1 1 1
   1464  -6  -4  -1 1 1 1
   1465  -5  -4  -1 1 1 1
   1466  -4  -4  -1 1 1 1
   1467  -3  -4  -1 1 1 1
   1468  -2  -4  -1 1 1 1
   1469  -1  -4  -1 1 1 1
   1470   0  -4  -1 1 1 1
   1471   1  -4  -1 1 1 1
   1472   2  -4  -1 1 1 1
   1473   3  -4  -1 1 1 1
   1474   4  -4  -1 1 1 1
   1475   5  -4  -1 1 1 1
   1476   6  -4  -1 1 1 1
   1477   7  -4  -1 1 1 1
   1478   8  -4  -1 1 1 1
   1479   9  -4  -1 1 1 1
   1480  10  -4  -1 1 1 1
   1481  11  -4  -1 1 1 1
   1482  12  -4  -1 1 1 1
   1483  13  -4  -1 1 1 1
   1484  14  -4  -1 1 1 1
   1485  15  -4  -1 1 1 1
   1486  16  -4  -1 1 1 1
   1487  17  -4  -1 1 1 1
   1488  18  -4  -1 1 1 1
   1489  19  -4  -1 1 1 1
   1490  20  -4  -1 1 1 1
   1491  21  -4  -1 1 1 1
   1492  22  -4  -1 1 1 1
   1493  23  -4  -1 1 1 1
   1494  24  -4  -1 1 1 1
   1495  25  -4  -1 1 1 1
   1496  26  -4  -1 1 1 1
   1497  27  -4  -1 1 1 1
   1498  28  -4  -1 1 1 1
   1499  29  -4  -1 1 1 1
   1500  30  -4  -1 1 1 1
   1501 -29  -3  -1 1 1 1
   1502 -28  -3  -1 1 1 1
   1503 -27  -3  -1 1 1 1
   1504 -26  -3  -1 1 1 1
   1505 -25  -3  -1 1 1 1
   1506 -24  -3  -1 1 1 1
   1507 -23  -3  -1 1 1 1
   1508 -22  -3  -1 1 1 1
   1509 -21  -3  -1 1 1 1
   1510 -20  -3  -1 1 1 1
   1511 -19  -3  -1 1 1 1
   1512 -18  -3  -1 1 1 1
   1513 -17  -3  -1 1 1 1
   1514 -16  -3  -1 1 1 1
   1515 -15  -3  -1 1 1 1
   1516 -14  -3  -1 1 1 1
   1517 -13  -3  -1 1 1 1
   1518 -12  -3  -1 1 1 1
   1519 -11  -3  -1 1 1 1
   1520 -10  -3  -1 1 1 1
   1521  -9  -3  -1 1 1 1
   1522  -8  -3  -1 1 1 1
   1523  -7  -3  -1 1 1 1
   1524  -6  -3  -1 1 1 1
   1525  -5  -3  -1 1 1 1
   1526  -4  -3  -1 1 1 1
   1527  -3  -3  -1 1 1 1
   1528  -2  -3  -1 1 1 1
   1529  -1  -3  -1 1 1 1
   1530   0  -3  -1 1 1 1
   1531   1  -3  -1 1 1 1
   1532   2  -3  -1 1 1 1
   1533   3  -3  -1 1 1 1
   1534   4  -3  -1 1 1 1
   1535   5  -3  -1 1 1 1
   1536   6  -3  -1 1 1 1
   1537   7  -3  -1 1 1 1
   1538   8  -3  -1 1 1 1
   1539   9  -3  -1 1 1 1
   1540  10  -3  -1 1 1 1
   1541  11  -3  -1 1 1 1
   1542  12  -3  -1 1 1 1
   1543  13  -3  -1 1 1 1
   1544  14  -3  -1 1 1 1
   1545  15  -3  -1 1 1 1
   1546  16  -3  -1 1 1 1
   1547  17  -3  -1 1 1 1
   1548  18  -3  -1 1 1 1
   1549  19  -3  -1 1 1 1
