 >TARCYL  cylindrical target: Length= 66.0000 Diameter= 20.0000
     20856 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.50000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    173   8   0  -9 1 1 1
    174   9   0  -9 1 1 1
    175  10   0  -9 1 1 1
    176  11   0  -9 1 1 1
    177  12   0  -9 1 1 1
    178  13   0  -9 1 1 1
    179  14   0  -9 1 1 1
    180  15   0  -9 1 1 1
    181  16   0  -9 1 1 1
    182  17   0  -9 1 1 1
    183  18   0  -9 1 1 1
    184  19   0  -9 1 1 1
    185  20   0  -9 1 1 1
    186  21   0  -9 1 1 1
    187  22   0  -9 1 1 1
    188  23   0  -9 1 1 1
    189  24   0  -9 1 1 1
    190  25   0  -9 1 1 1
    191  26   0  -9 1 1 1
    192  27   0  -9 1 1 1
    193  28   0  -9 1 1 1
    194  29   0  -9 1 1 1
    195  30   0  -9 1 1 1
    196  31   0  -9 1 1 1
    197  32   0  -9 1 1 1
    198  33   0  -9 1 1 1
    199 -32   1  -9 1 1 1
    200 -31   1  -9 1 1 1
    201 -30   1  -9 1 1 1
    202 -29   1  -9 1 1 1
    203 -28   1  -9 1 1 1
    204 -27   1  -9 1 1 1
    205 -26   1  -9 1 1 1
    206 -25   1  -9 1 1 1
    207 -24   1  -9 1 1 1
    208 -23   1  -9 1 1 1
    209 -22   1  -9 1 1 1
    210 -21   1  -9 1 1 1
    211 -20   1  -9 1 1 1
    212 -19   1  -9 1 1 1
    213 -18   1  -9 1 1 1
    214 -17   1  -9 1 1 1
    215 -16   1  -9 1 1 1
    216 -15   1  -9 1 1 1
    217 -14   1  -9 1 1 1
    218 -13   1  -9 1 1 1
    219 -12   1  -9 1 1 1
    220 -11   1  -9 1 1 1
    221 -10   1  -9 1 1 1
    222  -9   1  -9 1 1 1
    223  -8   1  -9 1 1 1
    224  -7   1  -9 1 1 1
    225  -6   1  -9 1 1 1
    226  -5   1  -9 1 1 1
    227  -4   1  -9 1 1 1
    228  -3   1  -9 1 1 1
    229  -2   1  -9 1 1 1
    230  -1   1  -9 1 1 1
    231   0   1  -9 1 1 1
    232   1   1  -9 1 1 1
    233   2   1  -9 1 1 1
    234   3   1  -9 1 1 1
    235   4   1  -9 1 1 1
    236   5   1  -9 1 1 1
    237   6   1  -9 1 1 1
    238   7   1  -9 1 1 1
    239   8   1  -9 1 1 1
    240   9   1  -9 1 1 1
    241  10   1  -9 1 1 1
    242  11   1  -9 1 1 1
    243  12   1  -9 1 1 1
    244  13   1  -9 1 1 1
    245  14   1  -9 1 1 1
    246  15   1  -9 1 1 1
    247  16   1  -9 1 1 1
    248  17   1  -9 1 1 1
    249  18   1  -9 1 1 1
    250  19   1  -9 1 1 1
    251  20   1  -9 1 1 1
    252  21   1  -9 1 1 1
    253  22   1  -9 1 1 1
